message,label
"Dear user, suspicious activity detected. Confirm OTP 693557 at http://mcdonald-waters.info/verify.",spoofed
Urgent! Your account will be blocked. Click http://bailey.com/verify to verify OTP 701442.,spoofed
Your payment failed. Enter OTP 517929 at http://little.biz/verify to retry.,spoofed
Claim your reward by entering OTP 272421. Visit http://simmons-woodward.org/verify now.,spoofed
Claim your reward by entering OTP 714228. Visit http://henderson.biz/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 203042 at http://smith.com/verify.",spoofed
Use 715897 as your login OTP for Walmart.,safe
Claim your reward by entering OTP 399060. Visit http://ward.biz/verify now.,spoofed
578524 is your Flipkart OTP. Do not share this code.,safe
Security alert! Login attempt detected. Validate with OTP 399092 at http://sanchez.net/verify.,spoofed
Enter 633645 to complete your transaction on Flipkart.,safe
537364 is your Flipkart OTP. Do not share this code.,safe
"Dear user, suspicious activity detected. Confirm OTP 825347 at http://pearson-bailey.org/verify.",spoofed
Hi! Your verification code is 509192. Valid for 10 mins.,safe
Your OTP is 652414. Please do not share it with anyone.,safe
Hi! Your verification code is 595733. Valid for 10 mins.,safe
Urgent! Your account will be blocked. Click http://gonzales-fletcher.com/verify to verify OTP 689452.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 895668 at http://lowe.com/verify.",spoofed
Your OTP is 811094. Please do not share it with anyone.,safe
684022 is your Google OTP. Do not share this code.,safe
Use 391202 as your login OTP for Walmart.,safe
118489 is your Google OTP. Do not share this code.,safe
Your payment failed. Enter OTP 215290 at http://nguyen.com/verify to retry.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 798508 at http://moore-scott.net/verify.",spoofed
Security alert! Login attempt detected. Validate with OTP 674678 at http://rodriguez-johnson.biz/verify.,spoofed
Enter 552441 to complete your transaction on Google.,safe
Enter 300417 to complete your transaction on Amazon.,safe
Hi! Your verification code is 896421. Valid for 10 mins.,safe
442812 is your Google OTP. Do not share this code.,safe
Urgent! Your account will be blocked. Click http://patrick.com/verify to verify OTP 252507.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 142073 at http://kelley-walters.com/verify.",spoofed
Your OTP is 995443. Please do not share it with anyone.,safe
"Dear user, suspicious activity detected. Confirm OTP 968889 at http://thomas-jones.com/verify.",spoofed
Your OTP is 950735. Please do not share it with anyone.,safe
Your OTP is 149557. Please do not share it with anyone.,safe
372302 is your Amazon OTP. Do not share this code.,safe
952763 is your Google OTP. Do not share this code.,safe
Use 522483 as your login OTP for Google.,safe
Use 721692 as your login OTP for Amazon.,safe
Your payment failed. Enter OTP 260607 at http://carlson.com/verify to retry.,spoofed
804618 is your Amazon OTP. Do not share this code.,safe
Enter 932969 to complete your transaction on Flipkart.,safe
Hi! Your verification code is 740067. Valid for 10 mins.,safe
Enter 633831 to complete your transaction on Flipkart.,safe
224962 is your Google OTP. Do not share this code.,safe
Urgent! Your account will be blocked. Click http://martinez.com/verify to verify OTP 283486.,spoofed
Your payment failed. Enter OTP 237199 at http://craig-morris.com/verify to retry.,spoofed
Enter 928477 to complete your transaction on Flipkart.,safe
Enter 458984 to complete your transaction on Walmart.,safe
Enter 969155 to complete your transaction on Amazon.,safe
Claim your reward by entering OTP 564294. Visit http://robinson.com/verify now.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 105037 at http://hubbard.biz/verify.",spoofed
Urgent! Your account will be blocked. Click http://mccormick.net/verify to verify OTP 331165.,spoofed
Enter 393040 to complete your transaction on Google.,safe
Claim your reward by entering OTP 514042. Visit http://robinson-richardson.biz/verify now.,spoofed
Your OTP is 166384. Please do not share it with anyone.,safe
Your OTP is 920318. Please do not share it with anyone.,safe
Your payment failed. Enter OTP 324534 at http://leon-velasquez.net/verify to retry.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 675034 at http://johnson.com/verify.",spoofed
"Dear user, suspicious activity detected. Confirm OTP 374017 at http://barnett-robinson.com/verify.",spoofed
Claim your reward by entering OTP 442863. Visit http://bridges-villa.com/verify now.,spoofed
Claim your reward by entering OTP 115335. Visit http://price.org/verify now.,spoofed
Hi! Your verification code is 867848. Valid for 10 mins.,safe
Your payment failed. Enter OTP 652627 at http://smith.net/verify to retry.,spoofed
Security alert! Login attempt detected. Validate with OTP 870868 at http://davis-sanders.com/verify.,spoofed
Urgent! Your account will be blocked. Click http://knight.com/verify to verify OTP 784085.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 542891 at http://tran.com/verify.",spoofed
Use 309304 as your login OTP for Amazon.,safe
Your OTP is 533574. Please do not share it with anyone.,safe
Hi! Your verification code is 753996. Valid for 10 mins.,safe
Use 835100 as your login OTP for Amazon.,safe
Urgent! Your account will be blocked. Click http://espinoza-waters.com/verify to verify OTP 134965.,spoofed
Security alert! Login attempt detected. Validate with OTP 451227 at http://gutierrez.info/verify.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 432991 at http://smith-moore.net/verify.",spoofed
Urgent! Your account will be blocked. Click http://phillips.com/verify to verify OTP 190306.,spoofed
"Dear user, suspicious activity detected. Confirm OTP 329704 at http://delgado-jones.com/verify.",spoofed
Enter 236643 to complete your transaction on Flipkart.,safe
Enter 307276 to complete your transaction on Google.,safe
Urgent! Your account will be blocked. Click http://williams-poole.net/verify to verify OTP 358901.,spoofed
Your payment failed. Enter OTP 968831 at http://hoover.net/verify to retry.,spoofed
Urgent! Your account will be blocked. Click http://reyes.com/verify to verify OTP 954300.,spoofed
Claim your reward by entering OTP 784354. Visit http://kidd-miller.com/verify now.,spoofed
Enter 185128 to complete your transaction on Walmart.,safe
575488 is your Google OTP. Do not share this code.,safe
150713 is your Amazon OTP. Do not share this code.,safe
Your OTP is 680492. Please do not share it with anyone.,safe
Urgent! Your account will be blocked. Click http://lucas-reid.com/verify to verify OTP 530295.,spoofed
Your OTP is 171263. Please do not share it with anyone.,safe
Your OTP is 404098. Please do not share it with anyone.,safe
Urgent! Your account will be blocked. Click http://bowers.net/verify to verify OTP 177687.,spoofed
Claim your reward by entering OTP 294734. Visit http://olson-wells.com/verify now.,spoofed
Your payment failed. Enter OTP 668222 at http://brown.org/verify to retry.,spoofed
Urgent! Your account will be blocked. Click http://lewis-oconnor.com/verify to verify OTP 549732.,spoofed
Your OTP is 997806. Please do not share it with anyone.,safe
Use 222273 as your login OTP for Walmart.,safe
"Dear user, suspicious activity detected. Confirm OTP 141054 at http://morgan-horn.com/verify.",spoofed
"Dear user, suspicious activity detected. Confirm OTP 514384 at http://morales-jackson.com/verify.",spoofed
Enter 330870 to complete your transaction on Amazon.,safe
Hi! Your verification code is 517419. Valid for 10 mins.,safe
870164 is your Google OTP. Do not share this code.,safe
Your payment failed. Enter OTP 482373 at http://harris-rogers.net/verify to retry.,spoofed
Use 384567 as your login OTP for Google.,safe
Use 404595 as your login OTP for Amazon.,safe
"Dear user, suspicious activity detected. Confirm OTP 873768 at http://boyd-banks.com/verify.",spoofed
Security alert! Login attempt detected. Validate with OTP 262959 at http://ray.com/verify.,spoofed
289928 is your Paytm OTP. Do not share this code.,safe
Use 115399 as your login OTP for Flipkart.,safe
980757 is your Amazon OTP. Do not share this code.,safe
Enter 849238 to complete your transaction on Flipkart.,safe
Enter 285196 to complete your transaction on Flipkart.,safe
Hi! Your verification code is 272455. Valid for 10 mins.,safe
Use 661367 as your login OTP for Amazon.,safe
Use 605706 as your login OTP for Flipkart.,safe
Use 621418 as your login OTP for Paytm.,safe
Urgent! Your account will be blocked. Click http://murillo-flowers.com/verify to verify OTP 888199.,spoofed
Your payment failed. Enter OTP 126777 at http://delacruz-allen.net/verify to retry.,spoofed
206395 is your Amazon OTP. Do not share this code.,safe
